tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags,labeled_data
55209,4446,0,0x0014,0
55209,5800,0,0x0014,0
55209,8090,0,0x0014,0
55209,2035,0,0x0014,0
55209,1106,0,0x0014,0
55209,5962,0,0x0014,0
5811,55209,1024,0x0000,1
5009,55209,1024,0x0000,1
389,55209,1024,0x0000,1
4224,55209,1024,0x0000,1
254,55209,1024,0x0000,1
1984,55209,1024,0x0000,1
2381,55209,1024,0x0000,1
1141,55209,1024,0x0000,1
33,55209,1024,0x0000,1
9999,55209,1024,0x0000,1
1914,55209,1024,0x0000,1
5440,55209,1024,0x0000,1
1024,55209,1024,0x0000,1
1023,55209,1024,0x0000,1
8031,55209,1024,0x0000,1
1556,55209,1024,0x0000,1
9943,55209,1024,0x0000,1
8333,55209,1024,0x0000,1
1154,55209,1024,0x0000,1
1524,55209,1024,0x0000,1
1107,55209,1024,0x0000,1
3871,55209,1024,0x0000,1
5004,55209,1024,0x0000,1
2046,55209,1024,0x0000,1
55209,8800,0,0x0014,0
55209,1077,0,0x0014,0
55209,722,0,0x0014,0
55209,4550,0,0x0014,0
55209,2288,0,0x0014,0
55209,144,0,0x0014,0
9101,55209,1024,0x0000,1
3007,55209,1024,0x0000,1
55209,32768,0,0x0014,0
55209,1092,0,0x0014,0
49157,55209,1024,0x0000,1
2100,55209,1024,0x0000,1
20000,55209,1024,0x0000,1
3880,55209,1024,0x0000,1
1082,55209,1024,0x0000,1
55209,9593,0,0x0014,0
55209,5225,0,0x0014,0
55209,5555,0,0x0014,0
55209,9898,0,0x0014,0
55209,2718,0,0x0014,0
55209,56738,0,0x0014,0
55209,5987,0,0x0014,0
55209,9040,0,0x0014,0
55209,1087,0,0x0014,0
55209,2602,0,0x0014,0
55209,5801,0,0x0014,0
55209,9876,0,0x0014,0
55209,6004,0,0x0014,0
55209,8007,0,0x0014,0
55209,1089,0,0x0014,0
55209,500,0,0x0014,0
55209,3920,0,0x0014,0
55209,6543,0,0x0014,0
55209,2107,0,0x0014,0
55209,10024,0,0x0014,0
55209,1600,0,0x0014,0
55209,5405,0,0x0014,0
55209,3300,0,0x0014,0
55209,2557,0,0x0014,0
55209,5922,0,0x0014,0
55209,2043,0,0x0014,0
55209,2022,0,0x0014,0
55209,1840,0,0x0014,0
55209,20222,0,0x0014,0
55209,5009,0,0x0014,0
55209,2910,0,0x0014,0
55209,1063,0,0x0014,0
55209,5811,0,0x0014,0
55209,40911,0,0x0014,0
55209,5100,0,0x0014,0
55209,5810,0,0x0014,0
55209,5000,0,0x0014,0
55209,5002,0,0x0014,0
55209,30,0,0x0014,0
1971,55209,1024,0x0000,1
4443,55209,1024,0x0000,1
1100,55209,1024,0x0000,1
1046,55209,1024,0x0000,1
1594,55209,1024,0x0000,1
55209,4224,0,0x0014,0
55209,2381,0,0x0014,0
55209,33,0,0x0014,0
55209,389,0,0x0014,0
55209,254,0,0x0014,0
55209,9999,0,0x0014,0
55209,1984,0,0x0014,0
2909,55209,1024,0x0000,1
4899,55209,1024,0x0000,1
2119,55209,1024,0x0000,1
3211,55209,1024,0x0000,1
1079,55209,1024,0x0000,1
9091,55209,1024,0x0000,1
7741,55209,1024,0x0000,1
2811,55209,1024,0x0000,1
1301,55209,1024,0x0000,1
109,55209,1024,0x0000,1
19,55209,1024,0x0000,1
6567,55209,1024,0x0000,1
3301,55209,1024,0x0000,1
873,55209,1024,0x0000,1
10010,55209,1024,0x0000,1
1,55209,1024,0x0000,1
50500,55209,1024,0x0000,1
10778,55209,1024,0x0000,1
11110,55209,1024,0x0000,1
20828,55209,1024,0x0000,1
3914,55209,1024,0x0000,1
1761,55209,1024,0x0000,1
49154,55209,1024,0x0000,1
2522,55209,1024,0x0000,1
23502,55209,1024,0x0000,1
3659,55209,1024,0x0000,1
50003,55209,1024,0x0000,1
5802,55209,1024,0x0000,1
1119,55209,1024,0x0000,1
37,55209,1024,0x0000,1
100,55209,1024,0x0000,1
8649,55209,1024,0x0000,1
1035,55209,1024,0x0000,1
2001,55209,1024,0x0000,1
5907,55209,1024,0x0000,1
1052,55209,1024,0x0000,1
1192,55209,1024,0x0000,1
56737,55209,1024,0x0000,1
5200,55209,1024,0x0000,1
5001,55209,1024,0x0000,1
1271,55209,1024,0x0000,1
444,55209,1024,0x0000,1
55209,1107,0,0x0014,0
55209,1556,0,0x0014,0
55209,1141,0,0x0014,0
55209,9943,0,0x0014,0
55209,1024,0,0x0014,0
55209,8031,0,0x0014,0
55209,3007,0,0x0014,0
55209,9101,0,0x0014,0
55209,3880,0,0x0014,0
55209,2046,0,0x0014,0
55209,20000,0,0x0014,0
55209,49157,0,0x0014,0
55209,1154,0,0x0014,0
55209,8333,0,0x0014,0
55209,1524,0,0x0014,0
55209,1023,0,0x0014,0
55209,5440,0,0x0014,0
55209,2100,0,0x0014,0
55209,5004,0,0x0014,0
55209,3871,0,0x0014,0
55209,1914,0,0x0014,0
9500,55209,1024,0x0000,1
4004,55209,1024,0x0000,1
55209,1082,0,0x0014,0
55209,1100,0,0x0014,0
55209,109,0,0x0014,0
55209,1079,0,0x0014,0
55209,7741,0,0x0014,0
55209,1301,0,0x0014,0
55209,2909,0,0x0014,0
55209,1971,0,0x0014,0
55209,4899,0,0x0014,0
55209,3301,0,0x0014,0
19801,55209,1024,0x0000,1
1044,55209,1024,0x0000,1
55209,3211,0,0x0014,0
777,55209,1024,0x0000,1
9011,55209,1024,0x0000,1
7920,55209,1024,0x0000,1
3369,55209,1024,0x0000,1
512,55209,1024,0x0000,1
2323,55209,1024,0x0000,1
14000,55209,1024,0x0000,1
8652,55209,1024,0x0000,1
2710,55209,1024,0x0000,1
1863,55209,1024,0x0000,1
8193,55209,1024,0x0000,1
146,55209,1024,0x0000,1
50389,55209,1024,0x0000,1
55209,10010,0,0x0014,0
55209,6567,0,0x0014,0
55209,19,0,0x0014,0
