ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.136,192.168.4.133,1111,52827,1024,0x0002
192.168.4.21,192.168.4.133,1044,52825,1024,0x0002
192.168.4.77,192.168.4.133,1287,52825,1024,0x0002
192.168.4.78,192.168.4.133,56737,52825,1024,0x0002
192.168.4.106,192.168.4.133,9943,52825,1024,0x0002
192.168.4.136,192.168.4.133,55555,52825,1024,0x0002
192.168.4.21,192.168.4.133,616,52825,1024,0x0002
192.168.4.77,192.168.4.133,888,52825,1024,0x0002
192.168.4.133,192.168.4.21,52825,1076,0,0x0014
192.168.4.133,192.168.4.78,52825,7512,0,0x0014
192.168.4.133,192.168.4.77,52825,20828,0,0x0014
192.168.4.133,192.168.4.106,52825,1087,0,0x0014
192.168.4.133,192.168.4.77,52825,259,0,0x0014
192.168.4.136,192.168.4.133,1036,52827,1024,0x0002
192.168.4.136,192.168.4.133,425,52825,1024,0x0002
192.168.4.21,192.168.4.133,2191,52825,1024,0x0002
192.168.4.77,192.168.4.133,9,52825,1024,0x0002
192.168.4.78,192.168.4.133,777,52825,1024,0x0002
192.168.4.106,192.168.4.133,2525,52825,1024,0x0002
192.168.4.136,192.168.4.133,125,52825,1024,0x0002
192.168.4.133,192.168.4.77,52825,1287,0,0x0014
192.168.4.133,192.168.4.77,52825,888,0,0x0014
192.168.4.77,192.168.4.133,32769,52825,1024,0x0002
192.168.4.78,192.168.4.133,18101,52825,1024,0x0002
192.168.4.21,192.168.4.133,3351,52825,1024,0x0002
192.168.4.133,192.168.4.77,52825,9,0,0x0014
192.168.4.133,192.168.4.21,52825,616,0,0x0014
192.168.4.133,192.168.4.21,52825,9594,0,0x0014
192.168.4.133,192.168.4.21,52825,1039,0,0x0014
192.168.4.133,192.168.4.78,52825,49153,0,0x0014
192.168.4.133,192.168.4.21,52825,1044,0,0x0014
192.168.4.133,192.168.4.78,52825,9593,0,0x0014
192.168.4.133,192.168.4.78,52825,56737,0,0x0014
192.168.4.133,192.168.4.106,52825,1594,0,0x0014
192.168.4.133,192.168.4.106,52825,9943,0,0x0014
192.168.4.133,192.168.4.106,52825,52822,0,0x0014
192.168.4.133,192.168.4.21,52825,2191,0,0x0014
192.168.4.133,192.168.4.106,52825,2525,0,0x0014
192.168.4.106,192.168.4.133,1218,52825,1024,0x0002
192.168.4.136,192.168.4.133,13782,52825,1024,0x0002
192.168.4.1,192.168.4.133,691,52825,1024,0x0002
192.168.4.21,192.168.4.133,1700,52825,1024,0x0002
192.168.4.77,192.168.4.133,88,52825,1024,0x0002
